,Data,Dij,Origin,Destination,Oi,Dj,Bj,Ai,OldAi,OldBj,diff,beta,SIM_Estimates
0,180048,219,1,2,679180,1155811,0.8759830255317219,4.421528284620881e-05,4.421528284620881e-05,0.8759830255317219,7.227582197548383e-07,-0.9055833,232400.8632726906
1,79223,1009,1,3,679180,1789112,0.8988084578078159,4.421528284620881e-05,4.421528284620881e-05,0.8988084578078159,1.2738144659323843e-06,-0.9055833,92557.8048177605
2,26887,1514,1,4,679180,942162,0.792170441145301,4.421528284620881e-05,4.421528284620881e-05,0.792170441145301,4.3486895731349113e-07,-0.9055833,29745.157932600854
3,198144,974,1,5,679180,2484387,1.0320919986208497,4.421528284620881e-05,4.421528284620881e-05,1.0320919986208497,1.2897154171922064e-06,-0.9055833,152403.75541204878
4,17995,1268,1,6,679180,819222,0.7068738905903461,4.421528284620881e-05,4.421528284620881e-05,0.7068738905903461,3.4114269850058847e-07,-0.9055833,27095.451176186838
5,35563,1795,1,7,679180,1237079,0.9285171134201669,4.421528284620881e-05,4.421528284620881e-05,0.9285171134201669,5.098202912252006e-07,-0.9055833,39246.45113331696
6,30528,2420,1,8,679180,1067069,1.010102057703877,4.421528284620881e-05,4.421528284620881e-05,1.010102057703877,3.914590546735743e-07,-0.9055833,28096.049772132566
7,110792,3174,1,9,679180,2143172,1.7754870587429994,4.421528284620881e-05,4.421528284620881e-05,1.7754870587429994,1.2750256654358778e-06,-0.9055833,77634.4664832671
8,283049,219,2,1,1874320,676308,0.6846852637136016,4.765307408522644e-05,4.765307408522644e-05,0.6846852637136016,2.6256590127695707e-07,-0.9055833,316087.3255945641
9,300345,831,2,3,1874320,1789112,0.8988084578078159,4.765307408522644e-05,4.765307408522644e-05,0.8988084578078159,1.2738144659323843e-06,-0.9055833,328237.0572223186
10,67280,1336,2,4,1874320,942162,0.792170441145301,4.765307408522644e-05,4.765307408522644e-05,0.792170441145301,4.3486895731349113e-07,-0.9055833,99094.5691292959
11,718673,755,2,5,1874320,2484387,1.0320919986208497,4.765307408522644e-05,4.765307408522644e-05,1.0320919986208497,1.2897154171922064e-06,-0.9055833,570961.5644468947
12,55094,1049,2,6,1874320,819222,0.7068738905903461,4.765307408522644e-05,4.765307408522644e-05,0.7068738905903461,3.4114269850058847e-07,-0.9055833,95699.20824345539
13,93434,1576,2,7,1874320,1237079,0.9285171134201669,4.765307408522644e-05,4.765307408522644e-05,0.9285171134201669,5.098202912252006e-07,-0.9055833,131345.78111912584
